id,question,answer,category,tags
1,How do I enroll in a course at EmpowerTech?,Open the course catalog on the website. Select the course and click Enroll. Sign in or create an account, pay the fee online, and you will receive a confirmation email with access instructions.,enrollment,"enroll,catalog"
2,What happens after I complete payment?,You receive an email receipt and your course appears under My Learning on the dashboard. Access begins on the batch start date unless the course is self-paced.,enrollment,"payment,access"
3,Can I enroll in more than one course at a time?,Yes. You can enroll in multiple courses. Each enrollment is separate and has its own fee and schedule.,enrollment,"multiple"
4,How do I know if a course has seats available?,The course page shows availability. If enrollment is closed, join the waitlist if offered or contact support for the next batch.,enrollment,"availability"
5,What is the minimum age to enroll?,Unless a course states otherwise, learners must be at least 16 years old. Parent or guardian consent may be required for minors as per institute policy.,enrollment,"age,policy"
6,Do I need prior experience for data science courses?,Each course lists prerequisites on its detail page. Introductory courses assume basic math and comfort with computers; advanced courses may require programming or statistics background.,course,"prerequisites"
7,How long do I have access to course materials?,Access duration is shown on the course page. Many courses provide access until the end date of your batch plus a stated grace period for recordings.,course,"access,materials"
8,Where do I find my enrolled courses?,Log in and open the dashboard. Under My Learning you will see all active and completed enrollments.,course,"dashboard"
9,How do I download lecture slides or resources?,Inside each module, open Resources or Materials. Download links appear when the instructor has made files available.,course,"materials,download"
10,What if a video does not play in my browser?,Use Chrome or Edge current version. Clear cache, disable heavy ad blockers on the learning site, and try another network. If it fails, contact technical support with your browser name and error message.,technical,"video,browser"
11,What are the system requirements for live classes?,A stable broadband connection (at least 5 Mbps recommended), webcam and microphone for interactive sessions, and headphones to reduce echo.,technical,"live,requirements"
12,Can I watch recordings if I miss a live session?,If your batch includes recordings, they are posted in the course portal usually within 24 to 48 hours unless stated otherwise.,course,"recording,attendance"
13,What payment methods does EmpowerTech accept?,We accept major credit and debit cards, net banking where supported, and UPI through our secure payment gateway.,payment,"upi,card"
14,Is EMI available for course fees?,EMI may be available for select courses and banks. On checkout, eligible EMI options appear when your card or provider supports it.,payment,"emi"
15,Will I get an invoice or receipt?,Yes. A tax invoice or receipt is emailed after successful payment. You can also download invoices from Order history in your account.,payment,"invoice,receipt"
16,What currency are fees listed in?,Fees are listed in Indian Rupees (INR) unless a specific international program states another currency.,payment,"currency"
17,What is your refund policy for courses?,Refund eligibility depends on the course and batch. Generally, full or partial refund may apply only within the published refund window from the batch start date. After that window, fees are typically non-refundable unless required by law or special promotion terms.,policy,"refund,terms"
18,How do I request a refund?,Submit a refund request through Help and Support in your account or email support with your order ID, course name, and reason. Processing follows the published policy timeline.,policy,"refund,request"
19,How long does a refund take to process?,Approved refunds usually return to the original payment method within 7 to 14 business days, depending on your bank or card issuer.,policy,"refund,timeline"
20,Can I transfer my enrollment to another person?,Transfer of enrollment is not allowed except where expressly permitted in writing by EmpowerTech for corporate or special programs.,policy,"transfer"
21,How do I reset my password?,On the login page click Forgot password, enter your registered email, and follow the link in the email to set a new password.,account,"password,login"
22,I did not receive the password reset email. What should I do?,Check spam and promotions folders. Confirm you used the same email as your account. Wait 15 minutes and try once more. If still missing, contact support so we can verify your email.,account,"password,email"
23,How do I change my registered email address?,Go to Account settings, update email, and confirm via the verification link sent to the new address. You may need to log in again.,account,"email,settings"
24,How do I update my phone number?,Under Account settings open Profile and edit your mobile number. You may receive an OTP to verify the new number.,account,"phone,profile"
25,Where can I see my payment and order history?,Account settings has Order history or Billing where you can view past payments and download invoices.,account,"billing,history"
26,What is my user ID for support tickets?,Your user ID or student ID appears on your profile and in confirmation emails. Quote it in all support conversations for faster help.,account,"support,id"
27,When does my batch start?,Batch start date and timing are listed on your course page and in your enrollment confirmation email.,course,"batch,schedule"
28,Where is the weekly class schedule published?,After enrollment, open your course dashboard. The Schedule or Calendar tab shows session dates and times in your local timezone when configured.,course,"schedule,calendar"
29,Can I switch to another batch?,Batch changes depend on seat availability and policy. Request a batch change through support before the stated cutoff. A fee difference may apply.,course,"batch,change"
30,What is the attendance policy?,Attendance requirements are defined per course. Some programs require minimum live attendance for certification. Check the course handbook in the portal.,course,"attendance,policy"
31,How do I get a certificate after completing a course?,If you meet completion criteria (assessments, attendance if required), your certificate is issued digitally. Download it from the course completion page or Certificates section.,certification,"certificate,completion"
32,Is the certificate industry recognized?,Certificates confirm completion of EmpowerTech learning programs. Recognition varies by employer. We do not guarantee job placement or external accreditation unless explicitly stated for a partnership program.,certification,"recognition"
33,Can I share my certificate on LinkedIn?,Yes. From your certificate page use the share options or download the PDF and upload to your profile.,certification,"linkedin,share"
